## "Objects"
de "Mutter: "

## "Muetze"
pl "Czapka"
en "Cap"
de "Mütze"

## "Multiplayer"
pl "Gra wieloosobowa"
en "Multiplayer"
de "Mehrspieler"

## "Music Volume"
pl "G³oœnoœæ muzyki"
en "Music volume"
de "Musiklautstärke"

## "Musicinit done"
pl "Muzyka zainicjowana"
en "Music initialized"
de "Musik initialisiert"

## "Mutter"
pl "Matka"
en "Mother"
de "Mutter"

## "Nahrung"
pl "Jedzenie"
en "Food"
de "Nahrung"

## "NahrungPos0"
pl "Ksiêga robaków"
en "Book of Worms"
de "Buch der Würmer"

## "NahrungPos1"
pl "Ksiêga grzybów"
en "Book of Mushrooms"
de "Buch der Pilze"

## "NahrungPos2"
pl "101 potraw z chomika"
en "Hamster Variations"
de "Hamster mal anders"

## "NahrungPos3"
pl "Kamienne przyprawy"
en "Stone Spices"
de "Gewürze aus Steinen"

## "NahrungPos4"
pl "LE CHEF"
en "LE CHEF"
de "Tranchierhilfe"

## "Name"
pl "Imiê"
en "Name"
de "Name"

## "Net Client"
pl "Klient sieci"
en "Net Client"
de "Netzwerg Client"

## "Net Server"
pl "Serwer sieciowy"
en "Net Server"
de "NetZwerg Server"

## "New Game"
pl "Nowa gra"
en "New game"
de "Neues Spiel"

## "Newsticker"
pl "Podpowiedzi"
en "Newsticker"
de "Newsticker"

## "Nichts"
pl "brak"
en "none"
de "Nichts"

## "No Quests"
pl "Brak zadañ"
en "No quests"
de "Keine Aufgaben"

## "No games found."
pl "Nie znaleziono gier."
en "No games found."
de "Keine Spiele gefunden."

## "No"
pl "Nie"
en "No"
de "Nein"

## "Normal stereo"
pl "Zwyk³e stereo"
en "Normal stereo"
de "Normales Stereo"

## "Nur noch -1- Minuten Zeit zum Umzug!"
pl "Jeszcze tylko -1- minut na ruch!"
en "Only -1- minute(s) remaining to move!"
de "Nur noch -1- Minuten Zeit zum Umzug!"

## "Odin"
pl "Odyn"
en "Odin"
de "Odin"

## "Options"
pl "Opcje"
en "Options"
de "Einstellungen"

## "Pan"
pl "ruszaj siê"
en "Pan"
de "Bewegen"

## "Partner"
pl "Partner"
en "Partner"
de "Partner"

## "Partner: "
pl "Partner/ka: "
en "Partner: "
de "Partner: "

## "Pedigree"
pl "Rodowód"
en "Pedigree"
de "Stammbaum"

## "PfeilUndBogen"
pl "£uk i strza³y"
en "Arrow&Bow"
de "Pfeil und Bogen"

## "Pilz"
pl "Grzyb"
en "Fungus"
de "Pilz"

## "Pilzbrot"
pl "Chleb z grzybów"
en "Mushroom bread"
de "Pilzbrot"

## "Pilzbrot_"
pl "Chleb z grzybów"
en "Mushroom bread"
de "Pilzbrot"

## "Pilzbrot__"
pl "Chleb z grzybów"
en "Mushroom bread"
de "Pilzbrot"

## "Pilzbrot___"
pl "Chleb z grzybów"
en "Mushroom bread"
de "Pilzbrot"

## "Pilzhut"
pl "Grzybi kapelusz"
en "Fungus hat"
de "Pilzhut"

## "Pilzschnaps"
pl "Nalewka na grzybach"
en "Mushroom liquor"
de "Pilzschnaps"

## "Pilzstamm"
pl "Grzybia nó¿ka"
en "Fungus stem"
de "Pilzstamm"

## "Plattmachfalle"
pl "Pu³apka"
en "Sqishing Trap"
de "Plattmachfalle"

## "Preferred workplace: "
pl "Ulubione miejsce pracy: "
en "Preferred workplace: "
de "Bevorzugter Arbeitsplatz: "

## "Presslufthammer"
pl "M³ot pneumatyczny"
en "Jackhammer"
de "Presslufthammer"

## "Primitivbad"
pl "Prosta ³azienka"
en "Simple bath"
de "Primitivbad"

## "Primitivschlafzimmer"
pl "Prosta sypialnia"
en "Simple bedroom"
de "Primitivschlafzimmer"

## "Primitivwohnzimmer"
pl "Prosty salon"
en "Simple living room"
de "Primitivwohnzimmer"

## "Production"
pl "Produkcja"
en "Production"
de "Produktion"

## "Produktion"
pl "Produkcja"
en "Production"
de "Produktion"

## "PseudoZwerg"
pl "Pseudokarze³"
en "PseudoDwarf"
de "PseudoZwerg"

## "Quest Done"
pl "Zadanie wykonane"
en "Quest completed"
de "Aufgabe erledigt"

## "Questlog"
pl "Dziennik"
en "Questlog"
de "Aufträge"

## "Quicksave current game"
pl "Szybki zapis gry"
en "Quicksave current game"
de "Aktuelles Spiel schnellspeichern"

## "Quicksave"
pl "Szybki zapis"
en "Quicksave"
de "Schnellspeichern"

## "Quietschewiggle"
pl "Gumowy Wiggles"
en "Squeaking-Diggle"
de "Quietschewiggle"

## "Quit game"
pl "WyjdŸ z gry"
en "Quit game"
de "Spiel beenden"

## "Quit"
pl "Wyjœcie"
en "Quit"
de "Beenden"

## "RMB:"
pl "PPM:"
en "RMB:"
de "RMB:"

## "Raupe"
pl "Pêdrak"
en "Grub"
de "Raupe"

## "Raupenschleimkuchen"
pl "placki pêdraczane"
en "Slimy grubcakes"
de "Raupenschleimkuchen"

## "Raupenschleimkuchen_"
pl "placki pêdraczane"
en "Slimy grubcakes"
de "Raupenschleimkuchen"

## "Raupenschleimkuchen__"
pl "placki pêdraczane"
en "Slimy grubcakes"
de "Raupenschleimkuchen"

## "Raupenschleimkuchen___"
pl "placki pêdraczane"
en "Slimy grubcakes"
de "Raupenschleimkuchen"

## "Raupensuppe"
pl "Zupa z pêdraków"
en "Grub soup"
de "Raupensuppe"

## "Raupensuppe_"
pl "Zupa z pêdraków"
en "Grub soup"
de "Raupensuppe"

## "Raupensuppe__"
pl "Zupa z pêdraków"
en "Grub soup"
de "Raupensuppe"

## "Raupensuppe___"
pl "Zupa z pêdraków"
en "Grub soup"
de "Raupensuppe"

## "Reaktor"
pl "Reaktor"
en "Reactor"
de "Reaktor"

## "Really quit?"
pl "Na pewno chcesz wyjœæ?"
en "Are you sure you want to quit?"
de "Wirklich beenden?"

## "Reithamster"
pl "Chomik wierzchowy"
en "Riding Hamster"
de "Reithamster"

## "Resume Game"
pl "Wznów grê"
en "Resume game"
de "Spiel fortsetzen"

## "Reverse stereo"
pl "Odwrócone stereo"
en "Reversed stereo"
de "Gespiegeltes Stereo"

## "Riesenelfe"
pl "Olbrzymia wró¿ka"
en "giant fairy"
de "Riesenelfe"

## "Riesenhamster"
pl "Chomik-gigant"
en "Giant Hamster"
de "Riesenhamster"

## "Riesenlaufrad"
pl "Olbrzymia elektrownia chomicza"
en "Giant Hamster Wheel"
de "Riesen-Hamster-Laufrad"

## "Riesentor"
pl "Olbrzymia brama"
en "Giant gate"
de "Riesentor"

## "Ring_Der_Erde"
pl "Pierœcieñ Ziemi"
en "ring of earth"
de "Ring der Erde"

## "Ring_Der_Luft"
pl "Pierœcieñ Powietrza"
en "ring of air"
de "Ring der Luft"

## "Ring_Der_Magie"
pl "Pierœcieñ Magii"
en "ring of magic"
de "Ring der Magie"

## "Ring_Des_Feuers"
pl "Pierœcieñ Ziemi"
en "ring of fire"
de "Ring des Feuers"

## "Ring_Des_Lebens"
pl "Pierœcieñ ¯ycia"
en "ring of life"
de "Ring des Lebens"

## "Ring_Des_Wassers"
pl "Pierœcieñ Wody "
en "ring of water"
de "Ring des Wassers"

## "Ring_Des_Wissens"
pl "Pierœcieñ Wiedzy"
en "Ring of Knowledge"
de "Ring des Wissens"

## "Saegewerk"
pl "Tartak"
en "Sawmill"
de "Sägewerk"

## "Sandkasten"
pl "Piaskownica"
en "Sandbox"
de "Sandksaten"

## "Save Game"
pl "Zapisz grê"
en "Save game"
de "Spiel speichern"

## "Save current game"
pl "Zapisz aktualn¹ rozgrywkê"
en "Save current game"
de "Aktuelles Spiel abspeichern"

## "Save game"
pl "Zapisz grê"
en "Save game"
de "Spiel speichern"

## "Save"
pl "Zapisz"
en "Save"
de "Speichern"

## "Schalter"
pl "Prze³¹cznik"
en "button"
de "Schalter"

## "Schalter_hebel_holz_up"
pl "Prze³¹cznik"
en "button"
de "Schalter"

## "Schalter_knopf_stein"
pl "Prze³¹cznik"
en "button"
de "Schalter"

## "Schalter_knopf_lava_1"
pl "Prze³¹cznik"
en "button"
de "Schalter"

## "Schalter_knopf_lava_2"
pl "Prze³¹cznik"
en "button"
de "Schalter"

## "Schalter_knopf_lava_3"
pl "Prze³¹cznik"
en "button"
de "Schalter"

## "Schalter_knopf_lava_4"
pl "Prze³¹cznik"
en "button"
de "Schalter"

## "Schalter_knopf_lava_5"
pl "Zawór"
en "valve"
de "Ventil"

## "Schalter_knopf_lava_6"
pl "Zawór"
en "valve"
de "Ventil"

## "Schatzbuch"
pl "Ksiêga"
en "Book"
de "Buch"

## "Schatzkiste"
pl "Skrzynia ze skarbami"
en "Treasure box"
de "Schatzkiste"

## "Schatztonne"
pl "Beczka ze skarbami"
en "Treasure barrel"
de "Schatztonne"

## "Schild"
pl "Tarcza"
en "Holzschild"
de "Holzschild"

## "Schild_1"
pl "Wzmocniona drewniana tarcza "
en "Beschlagener Holzschild"
de "Beschlagener Holzschild"

## "Schild_2"
pl "Stalowa tarcza p³ytowa "
en "Blechschild"
de "Blechschild"

## "Schild_3"
pl "RzeŸbiona tarcza metalowa"
en "Verzierter Metallschild"
de "Verzierter Metallschild"

## "Schild_unq_1"
pl "Bariera dla Wrogów "
en "Prallab"
de "Prallab"

## "Schild_unq_2"
pl "Szmaragdowa tarcza"
en "Smaragdshield"
de "Smaragdschild"

## "Schleiferei"
pl "Warsztat szlifierski"
en "Sanding site"
de "Schleiferei"

## "Schmelze"
pl "Ma³y piec"
en "Smeltery"
de "Schmelze"

## "Schmetterling"
pl "Motyl"
en "Butterfly"
de "Schmetterling"

## "Schmiede"
pl "KuŸnia"
en "Forge"
de "Schmiede"

## "Schreinerei"
pl "Warsztat ciesielski"
en "Carpenter"
de "Schreinerei"

## "Schubkarren"
pl "Taczka"
en "Barrow"
de "Schubkarren"

## "Schule"
pl "Szko³a"
en "School"
de "Schule"

## "Schusswaffen"
pl "Broñ palna"
en "Firearms"
de "Schusswaffen"

## "SchusswaffenPos0"
pl "Podstawy balistyki"
en "Basic Ballistics"
de "Ballistik selber rechnen"

## "SchusswaffenPos1"
pl "Twój zasiêg - mój zasiêg"
en "Your Range - My Range"
de "Schussweiten"

## "SchusswaffenPos2"
pl "Celowanie"
en "The Shooter's Aim"
de "Zielen leicht gemacht"

## "SchusswaffenPos3"
pl "Identyfikacja celu"
en "Friend or Foe?"
de "Freund-, Feinderkennung"

## "SchusswaffenPos4"
pl "Znaczenie kalibru broni"
en "The Caliber Counts"
de "Lieber Kaliber"

## "Schwefelwuker"
pl "Siarczany wuker"
en "Sulphur Wuker"
de "Schwefelwuker"

## "Schwert"
pl "Miecz"
en "Sword"
de "Schwert"

## "Schwert_1"
pl "Krajalnica do chomików"
en "Machete"
de "Machete"

## "Schwert_2"
pl "Ognisty Miecz"
en "Flamesword"
de "Flammenschwert"

## "Schwert_3"
pl "Miecz"
en "Broadsword"
de "Breitschwert"

## "Schwert_4"
pl "Szabla"
en "Saber"
de "Säbel"

## "Schwertkampf"
pl "Walka na miecze"
en "Sword fight"
de "Einhänder"

## "SchwertkampfPos0"
pl "Ciêcie i pchniêcie"
en "Cut-and-Thrust"
de "Von Hieben und Stechen"

## "SchwertkampfPos1"
pl "Typologia ran ciêtych"
en "About Stab Wounds"
de "Gezielte Stichwunden"

## "SchwertkampfPos2"
pl "Jak przekuæ lemiesze na miecze"
en "Turning Plowshares into Swords"
de "Schwerter statt Pflugscharen"

## "SchwertkampfPos3"
pl "Mój miecz i ja"
en "My Sword and I"
de "Mein Schwert und ich"

## "SchwertkampfPos4"
pl "Wspó³czesny miecz"
en "The Sword Today"
de "Das Schwert heute"

## "Service"
pl "Us³uga"
en "Service"
de "Service"

## "Service&Lehre"
pl "Us³ugi"
en "Service"
de "Service"

## "ServicePos0"
pl "Przepisy BHP"
en "Hygienic Regulations"
de "Hygienevorschriften"

## "ServicePos1"
pl "Podstawy aktorstwa"
en "Basic Acting"
de "Kleiner Schauspielkurs"

## "ServicePos2"
pl "Era muzyki"
en "The Age of Music"
de "Musikstile aus fünf Jahren"

## "ServicePos3"
pl "Podrêczniki pierwszej pomocy"
en "First Aid Manuals"
de "Erste-Hilfe-Anleitungen"

## "ServicePos4"
pl "Psychoterapeutyka dla opornych"
en "Be Your Own Shrink"
de "Psycho-Tipps"

## "Show gnome pedigree"
pl "Wyœwietl genealogiê kar³a"
en "Display dwarf pedigree"
de "Stammbaum der Zwerge anzeigen"

## "Show gnome stats"
pl "Wyœwietl statystyki kar³ów"
en "Display dwarf stats"
de "Zwergenstatistik anzeigen"

## "Show online help"
pl "Wyœwietl pomoc"
en "Display online help"
de "Hilfe anzeigen"

## "Show production sites"
pl "Wyswietl listê placówek produkcyjnych"
en "Display production facilities"
de "Übersicht Produktionsstätten"

## "Show quest log"
pl "Wyœwietl Dziennik"
en "Show Questlog"
de "Aufträge anzeigen"

## "Show questlog"
pl "Wyœwietl Dziennik"
en "Show Questlog"
de "Aufträge anzeigen"

## "Show subtitles"
pl "Napisy: w³¹czone"
en "Show subtitles"
de "Mit Untertiteln"

## "Show technologies"
pl "Wyœwietl wynalazki"
en "Display inventions"
de "Erfindungen anzeigen"

## "Shutdown"
pl "Wychodzenie..."
en "Shutdown"
de "Beenden"

## "Single"
pl "Jeden gracz"
en "Single"
de "Heinzelspiel"

## "Skirmish"
pl "Tryb potyczek"
en "Skirmish mode"
de "Freies Spiel"

## "Small"
pl "Ma³y"
en "Small"
de "Klein"

## "Sound Volume"
pl "G³oœnoœæ"
en "Sound volume"
de "Effektlautstärke"

## "Soundinit done"
pl "DŸwiêk zainicjowany"
en "Sound initialized"
de "Ton initialisiert"

## "Sparetime"
pl "Czas wolny"
en "Leisure time"
de "Freizeit"

## "Spiegel"
pl "Lustro"
en "Mirror"
de "Spiegel"

## "Spieler"
pl "Gracz"
en "Player"
de "Spieler"

## "Spinne"
pl "Paj¹k"
en "Spider"
de "Spinne"

## "Spinne_tot"
pl "Paj¹k"
en "Spider"
de "Spinne"

## "Spitzhacke"
pl "Kilof"
en "Pick"
de "Spitzhacke"

## "Stammbaum"
pl "Genealogia"
en "Pedigree"
de "Stammbaum"

## "Standard"
pl "Standard"
en "Standard"
de "Standard"

## "Standardbad"
pl "Standardowa ³azienka "
en "Standard bath"
de "Standardbad"

## "Standardschlafzimmer"
pl "Standardowa sypialnia"
en "Standard Bedroom"
de "Standardschlafzimmer"

## "Standardwohnzimmer"
pl "Standardowy salon"
en "Standard Living Room"
de "Standardwohnzimmer"

## "Start"
pl "Start!"
en "Go !"
de "Start"

## "Stein"
pl "Kamieñ"
en "Stone"
de "Stein"

## "Steinbrocken"
pl "G³az"
en "Stone boulder"
de "Steinbrocken"

## "Steine"
pl "Kamienie"
en "Stones"
de "Steine"

## "SteinePos0"
pl "Podstawy ska³oznawstwa"
en "Basic Rockology"
de "Kleine Steinkunde"

## "SteinePos1"
pl "Ska³oznawstwo zaawansowane"
en "Advanced Rockology"
de "Große Steinkunde"

## "SteinePos2"
pl "Podstawowe tablice kamienne"
en "Basic Stone Tables"
de "1x1 der Steine"

## "SteinePos3"
pl "Choroba szlanoych kamieni"
en "The Mad Stone Disease"
de "Granitkollersymptome"

## "SteinePos4"
pl "Aby zapobiec osuwiskom"
en "No More Rockfall"
de "Steinschlagsicherungen"

## "SteinfalleMedusa"
pl "Pu³apka Meduzy"
en "Medusa trap"
de "SteinfalleMedusa"

## "Steinmauer"
pl "Kamienna œciana"
en "Stone Wall"
de "Steinmauer"

## "Steinmetz"
pl "Kamieniarz"
en "Stonemason"
de "Steinmetz"

## "Steinschleuder"
pl "Proca"
en "Stone Sling"
de "Steinschleuder"

## "Steintuer"
pl "Kamienne drzwi"
en "Stone Door"
de "Steintür"

## "Stimm."
pl "Nastr."
en "Mood"
de "Stimm."

## "Stimmung"
pl "Nastrój"
en "Mood"
de "Stimmung"

## "StimmungNeg0"
pl "Brzydkie karl¹tko"
en "Ugly Little Diggle"
de "Kleiner hässlicher Wiggle"

## "StimmungNeg1"
pl "Chwile smutku"
en "Melancholic Moments"
de "Trauer um Aase"

## "StimmungNeg2"
pl "Deszcz i s³oñce"
en "Rain and Sunshine"
de "Regen und Sonne"

## "StimmungNeg3"
pl "O elfim szczêœciu"
en "On Happy Elves"
de "Von glücklichen Elfen"

## "StimmungNeg4"
pl "Zagro¿one pêdraki"
en "Grubs in Danger"
de "Raupen in Gefahr"

## "StimmungPos0"
pl "Z³ote nadzieje"
en "Golden Prospects"
de "Goldige Aussichten"

## "StimmungPos1"
pl "Poradnik dowcipnego Wigglesa"
en "The Funny Diggle"
de "Der lustige Wiggle"

## "StimmungPos2"
pl "Na przód, podziemna brygado!"
en "Rock On!"
de "Bunter als Gunther"

## "StimmungPos3"
pl "Podziemne dowcipy"
en "Underground Jokes"
de "Unter-Tage-Witze"

## "StimmungPos4"
pl "Mój chomik to twój chomik"
en "My Hamster is Your Hamster"
de "Hamstereien"

## "Streitaxt"
pl "Topór dwurêczny"
en "twohand Axe"
de "Zweihandaxt"

## "Streitkolben"
pl "Maczuga bojowa"
en "Battle club"
de "Streitkolben"

## "Summe"
pl "Suma"
en "Sum"
de "Summe"

## "Taucherglock"
pl "Dzwon nurkowy"
en "Diving Bell"
de "Taucherglocke"

## "Taucherglocke"
pl "Dzwon nurkowy"
en "diving bell"
de "Taucherglocke"

## "Team"
pl "Zespó³"
en "Team"
de "Team"

## "Techtree done"
pl "Wykres odkryæ gotowy"
en "Techtree done"
de "Techtree fertig"

## "Techtree"
pl "Wykres odkryæ"
en "Techtree"
de "Entwicklungen"

## "Tempel"
pl "Œwi¹tynia"
en "Temple"
de "Tempel"

## "Theater"
pl "Teatr"
en "Theater"
de "Theater"

## "Theatervorstellung"
pl "Przedstawienie"
en "Show"
de "Theatervorstellung"

## "Tilt"
pl "Przechylenie"
en "Tilt"
de "Kippen"

## "Tiny"
pl "Malutki"
en "Tiny"
de "Winzig"

## "Tischlerei"
pl "Warsztat meblarski"
en "Joinery"
de "Tischlerei"

## "TitanicKolben"
pl "T³ok"
en "Piston"
de "Kolben"

## "Titanic_abpumpen"
pl "Wypompuj wodê z Titanica"
en "Pump the Titanic dry"
de "Titanic abpumpen"

## "Toggle finder"
pl "W³¹cz szukanie"
en "Toggle finder"
de "Finder umschalten"

## "Toggle newsticker"
pl "W³¹cz podpowiedzi"
en "Toggle newsticker"
de "Newsticker umschalten"

## "Torwaechterin"
pl "Stra¿niczka bramy"
en "Gatekeeper"
de "Torwaechterin"

## "Transp."
pl "Trans."
en "Transp."
de "Transp."

## "Transport"
pl "Budowa i Trans."
en "Transport"
de "Bau&Transport"

## "TransportPos0"
pl "Oda do ma³ego kosza"
en "An Ode to the Small Pannier"
de "Kleine Kiepe ganz groß"

## "TransportPos1"
pl "Chomicze rodeo"
en "Hamster Rodeo"
de "Hamsterreiten in 2 Tagen"

## "TransportPos2"
pl "Wydajne pakowanie"
en "Efficient Packing"
de "Effizienter Packen"

## "TransportPos3"
pl "plac budowy"
en "Under Construction"
de "Gefahren beim Bau"

## "TransportPos4"
pl "Wskazówki konstrukcyjne"
en "Construction Guideline"
de "Bauratgeber"

## "Troll"
pl "Troll"
en "Troll"
de "Troll"

## "Trollschild_2"
pl "Tarcza trolla"
en "Troll shield"
de "Trollschild"

## "Trollschild_3"
pl "Tarcza trolla"
en "Troll shield"
de "Trollschild"

## "Trolltuer"
pl "Drzwi trolli"
en "Troll door"
de "Trolltür"

## "Tuer_LavaK"
pl "Drzwi"
en "door"
de "Tür"

## "Tunnel"
pl "Tunel"
en "Tunnel"
de "Gang"

## "Umzug"
pl "Ruch"
en "Move"
de "Umzug"

## "Undo"
pl "Skasuj"
en "Delete"
de "Löschen"

## "Unknown"
pl "Nieznane"
en "Unknown"
de "Unbekannt"

## "Unsichtbarkeitstrank"
pl "Mikstura niewidzialnoœci"
en "Potion of Invisibility"
de "Unsichtbarkeitstrank"

## "Unterricht"
pl "Klasa"
en "Education"
de "Unterricht"

## "Unverwundbarkeitstrank"
pl "Mikstura niewra¿liwoœci na ciosy"
en "Invulnerability potion"
de "Unverwundbarkeitstrank"

## "Vater"
pl "Ojciec"
en "Father"
de "Vater"

## "Verteid."
pl "Obrona"
en "Defense"
de "Verteid."

## "Verteidigung"
pl "Obrona"
en "Defense"
de "Verteidigung"

## "VerteidigungPos0"
pl "Tarczologia"
en "Shield Science"
de "Schildkunde"

## "VerteidigungPos1"
pl "Sekrety Blokowanie"
en "Secrets of Blocking"
de "Wie blocke ich richtig?"

## "VerteidigungPos2"
pl "Umiejêtne upadanie"
en "Correct Falling"
de "Fallübungen"

## "VerteidigungPos3"
pl "W³aœciwe parowanie ciosów"
en "Perfect Parees"
de "Paraden im Kampf"

## "VerteidigungPos4"
pl "Techniki uników"
en "Evasion Techniques"
de "Ausweichen, aber wohin?"

## "Video Options"
pl "Opcje graficzne"
en "Video options"
de "Videooptionen"

## "Wachhaus"
pl "Stra¿nica"
en "Guard House"
de "Wachhaus"

## "Waffenfabrik"
pl "Zbrojownia"
en "Arsenal"
de "Waffenfabrik"

## "Waffenschmiede"
pl "KuŸnia uzbrojenia"
en "Blacksmith"
de "Waffenschmiede"

## "Wasser"
pl "Woda"
en "Water"
de "Wasser"

## "Wasserrad"
pl "Elektrownia wodna"
en "Water Wheel"
de "Wasserrad"

## "Weichensignal_1"
pl "Sygna³ toru_1"
en "Track signal_1"
de "Weichensignal_1"

## "Weichensignal_2"
pl "Sygna³ toru_2"
en "Track signal_2"
de "Weichensignal_2"

## "Weichensignal_3"
pl "Sygna³ toru_3"
en "Track signal_3"
de "Weichensignal_3"

## "Weichensignal_4"
pl "Sygna³ toru_4"
en "Track signal_4"
de "Weichensignal_4"

## "Werkzeug:"
pl "Najlepszy pracownik:"
en "best worker:"
de "Bester Arbeiter:"

## "Wiederbelebung"
pl "Reanimacja"
en "CPR"
de "Wiederbelebung"

## "Work %2d:%02d "
pl "Praca %1:%2 "
en "Work %1:%2 "
de "Arbeit %1:%2 "

## "Work end"
pl "Koniec dnia pracy"
en "End of working day"
de "Arbeitsende"

## "Work start"
pl "Pocz¹tek pracy "
en "Start of work"
de "Arbeitsbeginn"

## "Wuker"
pl "Wuker"
en "Wuker"
de "Wuker"

## "Yes"
pl "Tak"
en "Yes"
de "Ja"

## "Zauberstab"
pl "Magiczna ró¿d¿ka"
en "Magic wand"
de "Zauberstab"

## "Zelt"
pl "Namiot"
en "Tent"
de "Zelt"

## "Zipfelmuetze"
pl "Czapka zmar³ego kar³a"
en "jelly bag cap of a dead dwarf"
de "Zipfelmütze eines Verstorbenen"

## "Zoom in"
pl "Przybli¿enie"
en "Zoom in"
de "Reinzoomen"

## "Zoom out"
pl "Oddalenie"
en "Zoom out"
de "Rauszoomen"

## "Zoom"
pl "Zbli¿enie"
en "Zoom"
de "Lupe"

## "Zurück"
pl "Powrót"
en "Back"
de "Zurück"

## "Zweihand"
pl "Dwurêczna"
en "Two-handed"
de "Zweihand"

## "Zweihandkampf"
pl "Walka dwurêczna"
en "Two-handed fight"
de "Zweihänder"

## "ZweihandkampfPos0"
pl "Dwie dzielne r¹czki"
en "Two Brave Hands"
de "Der Mut der zwei Hände"

## "ZweihandkampfPos1"
pl "Morderczy zamach"
en "The Deadly Swing"
de "Der tödliche Schwung"

## "ZweihandkampfPos2"
pl "Przytrzymaj mnie za rêkê"
en "Hold My Hand"
de "Von Äxten und Sternen"

## "ZweihandkampfPos3"
pl "Koordynacja oczu i r¹k"
en "Hand-Eye Coordination"
de "Beide Hände fest am Griff"

## "ZweihandkampfPos4"
pl "Ksiêga walki dwurêcznej"
en "Book of Two-handed Combat"
de "Zweihänderalmanach"

## "Zwerg"
pl "Karze³"
en "Dwarf"
de "Zwerg"

## "Zwerge"
pl "Kar³y"
en "Dwarves"
de "Zwerge"

## "Zwergeangegriffen"
pl "Zaatakowano twoje kar³y"
en "Your dwarfs are under attack"
de "Ihre Zwerge werden angegriffen"

## "_Auflegen"
pl "Wystêpy"
en "Perform"
de "Auflegen"

## "_Automatisch"
pl "Automatyczne otwieranie i zamykanie drzwi"
en "open and close door automaticly"
de "Tür automatisch öffnen und schliessen"

## "_Barbetrieb"
pl "Stanie za barem"
en "Bar service"
de "Barbetrieb"

## "_Bewachen_mittel"
pl "Warta, œredni dystans"
en "guard, medium range"
de "Wachdienst, mittlere Reichweite"

## "_Bewachen_nah"
pl "Warta, krótki dystans"
en "guard, small range"
de "Wachdienst, kleine Reichweite"

## "_Bewachen_weit"
pl "Warta, du¿y dystans"
en "guard, large range"
de "Wachdienst, grosse Reichweite"

## "_Heilen"
pl "Leczenie"
en "Healing"
de "Heilung"

## "_Kamera"
pl "Tryb kamery pod¹¿aj¹cej"
en "Camera Follow-Mode"
de "Verfolgerkamera"

## "_Kisten_einlagern"
pl "Zbieranie skrzyñ"
en "store boxes"
de "Kisten einlagern"

## "_Kungfu"
pl "Trening Kung Fu"
en "kungfu training"
de "Kungfu-Training"

## "_Liebesdienst"
pl "Mi³oœæ"
en "Love"
de "Liebesdienst"

## "_Mineralien_einlagern"
pl "Zbieranie z³ota, ¿elaza, wêgla, kryszta³ów i kamieni"
en "store gold, iron, coal, crystals and stones"
de "Gold, Eisen, Kohle, Kristall und Stein einlagern"

## "_Nahrung_einlagern"
pl "Zbieranie ¿ywnoœci"
en "store food"
de "Nahrung einlagern"

## "_Offen"
pl "Otwieranie drzwi"
en "open door"
de "Tür öffnen"

## "_Pilze_einlagern"
pl "Zbieranie gzybich kapeluszy i nó¿ek"
en "store fungus hats and stems"
de "Pilzhüte und Pilzstämme einlagern"

## "_Rohmineralien_einlagern"
pl "Zbieranie rud"
en "store raw ores"
de "rohe Mineralien einlagern"

## "_Schusswaffen"
pl "Trening w u¿yciu broni dystansowej"
en "firearms training"
de "Schusswaffentraining"

## "_Schwertkampf"
pl "Trning w walce na miecze"
en "swordsfight training"
de "Schwertkampftraining"

## "_Theatervorstellung"
pl "Przedstawienie"
en "Show"
de "Theatervorstellung"

## "_Titanic_abpumpen"
pl "Wypompuj wodê z Titanica"
en "Pump the Titanic dry"
de "Titanic abpumpen"

## "_Unterricht"
pl "Edukacja"
en "Education"
de "Unterricht"

## "_Verschlossen"
pl "Zamykanie drzwi"
en "lock door"
de "Tür verschliessen"

## "_Verteidigung"
pl "Trening obrony"
en "Defense Training"
de "Verteidigungstraining"

## "_Waffen_Werkzeug_und_Traenke_einlagern"
pl "Zbieranie broni, narzêdzi i mikstur"
en "store weapons, tools and potions"
de "Waffen, Werkzeuge und Tränke einlagern"

## "_Weiche_1"
pl "Prze³¹cznik toru 1"
en "Track Switch 1"
de "Weiche 1"

## "_Weiche_2"
pl "Prze³¹cznik toru 2"
en "Track Switch 2"
de "Weiche 2"

## "_Weiche_3"
pl "Prze³¹cznik toru 3"
en "Track Switch 3"
de "Weiche 3"

## "_Weiche_4"
pl "Prze³¹cznik 4"
en "Track Switch 4"
de "Weiche 4"

## "_Zweihandkampf"
pl "Trening w walce dwurêcznej"
en "two-handed fight training"
de "Zweihandkampftraining"

## "agressiv"
pl "agresywny"
en "aggressive"
de "aggressiv"

## "anfeindverloren"
pl "przej¹³ przeciwnik!"
en "has been taken over by the enemy!"
de "an den Feind verloren!"

## "assign"
pl "przyporz¹dkuj"
en "assign"
de "zuweisen"

## "attack"
pl "atakuj"
